frame_number,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
69,5.0,[1131.3583882793619 759.3344709693865 1490.0130679010713 1076.8445735212647],[1262.5260009765625 1020.0948486328125 1369.019775390625 1073.4949951171875],0.6184710264205933,WT51VSU,0.17635696484249588
69,6.0,[534.2532964239542 625.0966096093591 847.9312635651329 871.8165148691735],[640.0701904296875 773.3739624023438 730.2271118164062 817.7935180664062],0.5369923114776611,GX15OGJ,0.27327482721365365
70,5.0,[1133.1582081117554 763.1785814837971 1492.012887168824 1077.087074438205],[1263.165283203125 1019.8377685546875 1370.202880859375 1074.4610595703125],0.6213159561157227,LI51VSU,0.3800334687219168
71,6.0,[529.9130005203616 629.9141052541653 846.1216736975083 878.499765029347],[636.630126953125 781.17919921875 731.8394775390625 826.6029052734375],0.5032210350036621,GX15OCJ,0.5220665327996102
72,6.0,[526.9862130947233 631.6099354801113 843.5370500767417 881.5010879653082],[637.9744873046875 783.0047607421875 730.64013671875 828.5582885742188],0.5433365106582642,GX15OGJ,0.3920287962932669
73,6.0,[525.0901595327468 633.0501757859105 841.6427576659432 883.3127454414665],[633.9193115234375 780.2113037109375 728.7896118164062 829.33740234375],0.5427594184875488,GX15OGJ,0.5310082629139193
74,6.0,[524.7810045864466 636.331424346559 840.7403490312048 886.9568277141865],[636.0875244140625 783.7591552734375 729.4814453125 832.2293701171875],0.5821254253387451,GX15OGJ,0.6229971889334224
75,6.0,[524.5820355171477 638.6173355642934 841.507089933235 889.4214832974183],[638.3759765625 793.4481811523438 724.2908935546875 835.6818237304688],0.634641706943512,GX15OGJ,0.2608002162487323
76,6.0,[523.3891161736053 639.6105146531545 842.8511386162374 891.2691096675642],[630.76708984375 792.7984008789062 724.6298828125 838.2026977539062],0.5998616218566895,GX15OGJ,0.4153875169887528
77,6.0,[521.4131333117291 641.2892843220031 843.3832377772646 895.0236126552429],[636.6044311523438 794.8465576171875 727.9597778320312 841.365234375],0.5917638540267944,GX15OGJ,0.39401030876027593
78,6.0,[519.240604477102 644.0604035296097 840.9908658169505 899.7876721351237],[629.606689453125 802.219482421875 726.944091796875 848.9527587890625],0.5133273601531982,GX15OGJ,0.6049401769897779
79,6.0,[517.6645299684627 645.9421219520932 841.1223007187306 902.5997416928335],[625.1136474609375 803.343017578125 724.43994140625 851.83154296875],0.5524305701255798,GX15OGJ,0.5504604280062297
80,6.0,[515.248878049388 648.5794005281115 841.1307750338518 905.4122664670489],[627.560546875 805.916015625 720.21826171875 853.5889892578125],0.5821968913078308,GX15OGJ,0.43745984908771574
81,6.0,[511.49727454064555 651.7758467652138 840.0575553550234 908.6909175538806],[618.9420776367188 805.1971435546875 717.0437622070312 855.6287841796875],0.5414655804634094,GX15OGJ,0.40065900842455515
82,6.0,[508.77670913433735 654.1342478064018 838.5935309902206 912.0341357616683],[630.5513916015625 810.9988403320312 721.4868774414062 859.1508178710938],0.6096116304397583,GX15OGJ,0.43911365628135807
83,6.0,[506.991196696462 657.7468597663765 839.2352976985891 917.5386741174691],[623.80615234375 817.027587890625 717.696044921875 861.3363647460938],0.5765563249588013,GX15OGJ,0.3218828424905288
